time,ax,ay,az,atotal
5.330018997192383,0.83,-0.49,0.17,0.97
5.339989185333252,0.94,-0.61,0.11,1.12
5.349879026412964,1.03,-0.67,0.05,1.22
5.360350131988525,1.1,-0.63,-0.06,1.26
5.373446941375732,1.06,-0.55,-0.09,1.19
5.379365921020508,1.1,-0.5,0.06,1.2
5.389853000640869,1.18,-0.51,0.18,1.29
5.400369167327881,1.18,-0.43,0.24,1.27
5.409744024276733,1.03,-0.2,0.22,1.07
5.4233222007751465,0.79,-0.07,0.01,0.79
5.429174900054932,0.54,0.0,0.04,0.54
5.439640045166016,0.38,0.09,0.17,0.42
5.4496541023254395,0.31,0.17,0.09,0.36
5.459486961364746,0.29,0.16,-0.06,0.33
5.473207950592041,0.34,0.08,-0.18,0.39
5.479043006896973,0.46,0.0,-0.24,0.51
5.489527225494385,0.63,-0.01,-0.31,0.7
5.500308990478516,0.57,0.04,-0.45,0.72
5.510112047195435,0.46,0.02,-0.61,0.76
5.523284912109375,0.36,-0.01,-0.73,0.81
5.528865098953247,0.37,0.07,-0.63,0.73
5.539405107498169,0.69,0.22,-0.37,0.81
5.549338102340698,0.9,0.4,-0.53,1.11
5.559834003448486,0.92,0.48,-0.69,1.24
5.573802947998047,0.86,0.53,-0.72,1.24
5.578726053237915,0.82,0.5,-0.75,1.21
5.589217185974121,0.77,0.52,-0.81,1.23
5.5989089012146,0.7,0.52,-0.93,1.27
5.609718084335327,0.67,0.38,-0.89,1.17
5.623672008514404,0.61,0.28,-0.71,0.97
5.628565073013306,0.67,0.25,-0.39,0.81
5.638556003570557,0.79,0.31,-0.05,0.85
5.6487390995025635,0.73,0.22,-0.05,0.76
5.659514904022217,0.66,0.04,-0.02,0.66
5.6748480796813965,0.75,-0.03,-0.16,0.76
5.678286075592041,0.76,-0.06,-0.47,0.89
5.6889331340789795,0.71,-0.07,-0.41,0.82
5.69888710975647,0.79,-0.07,-0.45,0.91
5.7092461585998535,0.94,-0.07,-0.59,1.11
5.725375175476074,1.09,-0.01,-0.74,1.31
5.728715896606445,1.16,0.03,-0.85,1.43
5.738678932189941,1.07,0.04,-0.5,1.18
5.749032020568848,0.94,0.06,-0.22,0.96
5.758791923522949,0.61,0.04,-0.21,0.64
5.774054050445557,0.3,-0.03,-0.32,0.43
5.7780821323394775,0.12,-0.25,-0.55,0.61
5.7886199951171875,0.02,-0.48,-0.52,0.7
5.798809051513672,-0.02,-0.64,-0.37,0.73
5.8091161251068115,-0.06,-0.7,-0.33,0.77
5.824724197387695,-0.1,-0.66,-0.22,0.7
5.828382968902588,-0.09,-0.65,-0.19,0.68
5.838415145874023,-0.23,-0.56,-0.13,0.61
5.848717212677002,-0.53,-0.4,0.19,0.69
5.858898162841797,-0.92,-0.31,0.41,1.05
5.875023126602173,-1.33,-0.26,0.38,1.4
5.878185033798218,-1.54,-0.33,0.51,1.65
5.888395071029663,-1.57,-0.37,0.6,1.72
5.898179054260254,-1.61,-0.34,0.56,1.73
5.9089720249176025,-1.66,-0.32,0.63,1.8
5.923876047134399,-1.8,-0.38,0.68,1.96
5.9276580810546875,-1.98,-0.51,0.75,2.17
5.938097953796387,-2.18,-0.5,0.96,2.43
5.948397159576416,-2.44,-0.43,1.09,2.7
5.958745002746582,-2.61,-0.39,1.06,2.84
5.9750142097473145,-2.65,-0.47,1.21,2.95
5.9774322509765625,-2.56,-0.54,1.46,2.99
5.988110065460205,-2.53,-0.44,1.53,2.98
5.998300075531006,-2.64,-0.4,1.55,3.08
6.00858211517334,-2.77,-0.37,1.51,3.17
6.024841070175171,-2.82,-0.27,1.6,3.25
6.027304172515869,-2.76,-0.24,1.76,3.28
6.037777900695801,-2.66,-0.27,1.8,3.22
6.0480852127075195,-2.52,-0.2,1.86,3.13
6.058428049087524,-2.46,-0.16,1.77,3.03
6.0744640827178955,-2.43,-0.06,1.56,2.88
6.0775110721588135,-2.41,0.03,1.46,2.81
6.0878400802612305,-2.33,0.15,1.32,2.68
6.098071098327637,-2.2,0.2,1.08,2.45
6.108302116394043,-2.11,0.17,0.91,2.3
6.124272108078003,-2.08,0.12,0.79,2.22
6.126954078674316,-2.07,0.19,0.69,2.19
6.137506008148193,-2.02,0.23,0.67,2.14
6.147347927093506,-1.98,0.29,0.57,2.08
6.157997131347656,-1.92,0.25,0.48,1.99
6.1769819259643555,-1.86,0.18,0.51,1.93
6.17808723449707,-1.77,0.13,0.44,1.82
6.187420129776001,-1.68,0.13,0.37,1.72
6.197099208831787,-1.58,0.1,0.32,1.61
6.207852125167847,-1.4,0.12,0.21,1.42
6.225337982177734,-1.2,0.12,0.06,1.2
6.226881980895996,-1.13,0.16,-0.02,1.14
